iter	Passed	Remaining
0	4	4932
1	9	4498
2	13	4593
3	17	4310
4	19	3852
5	22	3780
6	26	3802
7	29	3619
8	32	3599
9	35	3542
10	37	3400
11	40	3345
12	43	3323
13	48	3384
14	52	3420
15	54	3373
16	59	3425
17	62	3397
18	65	3371
19	69	3384
20	72	3390
21	76	3395
22	80	3400
23	83	3405
24	86	3359
25	89	3352
26	93	3365
27	97	3380
28	101	3383
29	104	3379
30	107	3364
31	111	3371
32	115	3375
33	118	3373
34	122	3380
35	126	3386
36	129	3378
37	133	3379
38	136	3360
39	138	3318
40	140	3295
41	144	3305
42	147	3281
43	151	3284
44	155	3292
45	158	3295
46	162	3292
47	165	3274
48	167	3258
49	171	3266
50	175	3272
51	179	3268
52	182	3268
53	186	3268
54	190	3271
55	192	3249
56	195	3239
57	198	3226
58	202	3228
59	206	3228
60	208	3211
61	211	3207
62	215	3207
63	217	3180
64	219	3156
65	223	3156
66	226	3155
67	230	3153
68	233	3151
69	237	3149
70	239	3127
71	241	3107
72	243	3093
73	247	3091
74	250	3089
75	252	3074
76	256	3079
77	260	3077
78	263	3075
79	266	3061
80	269	3059
81	273	3059
82	276	3059
83	279	3044
84	282	3036
85	283	3016
86	286	3009
87	290	3007
88	293	3008
89	297	3008
90	301	3007
91	304	3005
92	306	2993
93	310	2994
94	314	2994
95	317	2993
96	321	2991
97	324	2989
98	327	2981
99	331	2980
100	334	2979
101	338	2978
102	341	2978
103	343	2956
104	346	2951
105	349	2951
106	352	2945
107	356	2943
108	359	2942
109	363	2941
110	367	2942
111	371	2942
112	374	2937
113	377	2936
114	380	2927
115	382	2913
116	385	2912
117	389	2912
118	393	2910
119	396	2908
120	400	2907
121	403	2904
122	406	2897
123	409	2896
124	412	2890
125	416	2888
126	418	2873
127	420	2867
128	424	2863
129	427	2859
130	429	2848
131	431	2840
132	434	2829
133	435	2811
134	437	2803
135	439	2792
136	442	2786
137	445	2781
138	448	2779
139	451	2776
140	455	2774
141	459	2773
142	461	2764
143	464	2759
144	466	2750
145	469	2748
146	471	2737
147	475	2737
148	479	2736
149	482	2732
150	484	2725
151	488	2722
152	491	2721
153	494	2714
154	497	2709
155	500	2708
156	504	2707
157	507	2704
158	510	2700
159	513	2697
160	516	2693
161	519	2688
162	522	2681
163	525	2676
164	528	2676
165	531	2671
166	534	2664
167	536	2658
168	538	2647
169	541	2644
170	544	2641
171	547	2635
172	550	2631
173	552	2623
174	554	2613
175	556	2606
176	558	2595
177	560	2588
178	563	2582
179	565	2576
180	567	2569
181	570	2562
182	573	2559
183	574	2547
184	576	2539
185	578	2531
186	580	2523
187	582	2514
188	583	2504
189	585	2495
190	587	2488
191	589	2480
192	591	2472
193	593	2464
194	595	2457
195	597	2449
196	598	2439
197	599	2430
198	601	2422
199	603	2412
200	605	2405
201	607	2398
202	609	2391
203	610	2383
204	612	2376
205	614	2368
206	615	2359
207	616	2348
208	618	2339
209	619	2331
210	621	2323
211	623	2316
212	624	2308
213	626	2300
214	628	2293
215	629	2285
216	631	2279
217	633	2271
218	635	2264
219	636	2257
220	638	2249
221	639	2242
222	641	2235
223	643	2227
224	644	2220
225	646	2213
226	647	2206
227	649	2199
228	651	2191
229	652	2184
230	654	2177
231	655	2170
232	657	2163
233	658	2156
234	659	2147
235	661	2140
236	662	2132
237	664	2126
238	665	2119
239	667	2113
240	668	2106
241	670	2100
242	672	2094
243	673	2087
244	676	2083
245	677	2075
246	678	2068
247	680	2062
248	681	2056
249	683	2050
250	684	2044
251	686	2037
252	688	2031
253	689	2025
254	691	2019
255	693	2014
256	695	2009
257	696	2003
258	697	1994
259	698	1989
260	700	1983
261	702	1977
262	703	1972
263	705	1966
264	706	1960
265	708	1955
266	710	1950
267	712	1945
268	713	1939
269	715	1934
270	716	1928
271	718	1923
272	720	1917
273	721	1911
274	723	1906
275	724	1900
276	726	1895
277	727	1890
